seed,n_routed,n_merged,n_quads,n_leftover_final,seconds
406,5527,92838,51946,0,17.113710165023804
407,5527,92838,51946,0,17.136740684509277
408,5521,92844,51943,0,17.097339153289795
409,5547,92818,51956,0,17.382508993148804
410,5543,92822,51954,0,20.074811935424805
411,5533,92832,51949,0,17.443989515304565
412,5527,92838,51946,0,17.047492504119873
413,5515,92850,51940,0,17.450725078582764
414,5535,92830,51950,0,20.19475221633911
415,5547,92818,51956,0,17.21280336380005
416,5527,92838,51946,0,17.23097801208496
417,5529,92836,51947,0,17.094133853912354
418,5531,92834,51948,0,20.03664541244507
419,5521,92844,51943,0,17.108267784118652
420,5523,92842,51944,0,17.153876304626465
421,5525,92840,51945,0,17.303560733795166
422,5507,92858,51936,0,19.802451372146606
423,5523,92842,51944,0,17.155457019805908
424,5535,92830,51950,0,17.014923572540283
425,5537,92828,51951,0,17.217374801635742
426,5527,92838,51946,0,17.15385389328003
427,5525,92840,51945,0,19.864715814590454
428,5535,92830,51950,0,17.00699496269226
429,5515,92850,51940,0,17.12900161743164
430,5521,92844,51943,0,16.98539447784424
431,5535,92830,51950,0,16.8659188747406
432,5523,92842,51944,0,20.061359643936157
433,5523,92842,51944,0,17.21678376197815
434,5519,92846,51942,0,17.34125328063965
435,5517,92848,51941,0,17.276991605758667
436,5539,92826,51952,0,17.52967667579651
437,5531,92834,51948,0,20.264776945114136
438,5525,92840,51945,0,17.31462335586548
439,5525,92840,51945,0,16.921678066253662
440,5533,92832,51949,0,17.11228919029236
441,5529,92836,51947,0,19.682966470718384
442,5533,92832,51949,0,17.276859760284424
443,5533,92832,51949,0,16.92660427093506
444,5525,92840,51945,0,16.893813848495483
445,5533,92832,51949,0,19.676737785339355
446,5555,92810,51960,0,16.99296522140503
447,5529,92836,51947,0,17.032816886901855
448,5515,92850,51940,0,17.143240690231323
449,5529,92836,51947,0,19.503196477890015
450,5521,92844,51943,0,17.0737943649292
451,5551,92814,51958,0,17.215674877166748
452,5539,92826,51952,0,17.02024006843567
453,5533,92832,51949,0,16.809349298477173
454,5533,92832,51949,0,17.056381464004517
455,5519,92846,51942,0,21.152814388275146
456,5541,92824,51953,0,17.28663945198059
457,5565,92800,51965,0,16.851192951202393
458,5531,92834,51948,0,17.499290466308594
459,5539,92826,51952,0,17.290486812591553
460,5515,92850,51940,0,20.693901538848877
461,5517,92848,51941,0,16.884475708007812
462,5535,92830,51950,0,17.03541612625122
463,5555,92810,51960,0,17.360801935195923
464,5525,92840,51945,0,19.662426710128784
465,5519,92846,51942,0,17.033302545547485
466,5537,92828,51951,0,17.057406663894653
467,5523,92842,51944,0,18.02559185028076
468,5527,92838,51946,0,17.615246295928955
469,5527,92838,51946,0,17.546113967895508
470,5519,92846,51942,0,17.020084857940674
471,5535,92830,51950,0,19.77256751060486
472,5527,92838,51946,0,17.30210518836975
473,5519,92846,51942,0,17.586353302001953
474,5527,92838,51946,0,17.382339000701904
475,5515,92850,51940,0,20.065577745437622
476,5543,92822,51954,0,17.208754539489746
477,5539,92826,51952,0,17.502617835998535
478,5541,92824,51953,0,17.09903049468994
479,5525,92840,51945,0,20.022475481033325
480,5513,92852,51939,0,17.131358861923218
481,5541,92824,51953,0,17.551971912384033
482,5525,92840,51945,0,17.43965721130371
483,5529,92836,51947,0,17.22133755683899
484,5527,92838,51946,0,20.218442916870117
485,5533,92832,51949,0,17.598904848098755
486,5569,92796,51967,0,17.220677375793457
487,5513,92852,51939,0,17.78312873840332
488,5511,92854,51938,0,17.80867576599121
489,5527,92838,51946,0,17.590702533721924
490,5539,92826,51952,0,20.62975001335144
491,5523,92842,51944,0,17.505136728286743
492,5515,92850,51940,0,17.462867259979248
493,5531,92834,51948,0,17.15207052230835
494,5535,92830,51950,0,20.472501277923584
495,5541,92824,51953,0,17.408869981765747
496,5531,92834,51948,0,17.440799474716187
497,5527,92838,51946,0,17.443454027175903
498,5527,92838,51946,0,20.62731909751892
499,5511,92854,51938,0,17.53606414794922
500,5541,92824,51953,0,17.747411012649536
