seed,n_routed,n_merged,n_quads,n_leftover_final,seconds
80,5533,92832,51949,0,18.443278551101685
81,5535,92830,51950,0,20.176680088043213
82,5513,92852,51939,0,17.09383535385132
83,5551,92814,51958,0,17.885254383087158
84,5531,92834,51948,0,20.123296976089478
85,5513,92852,51939,0,17.35593008995056
86,5525,92840,51945,0,19.455387592315674
87,5537,92828,51951,0,19.40947723388672
88,5529,92836,51947,0,17.465086221694946
89,5551,92814,51958,0,20.530901193618774
90,5535,92830,51950,0,16.876533031463623
91,5545,92820,51955,0,17.3445565700531
92,5523,92842,51944,0,19.94316864013672
93,5539,92826,51952,0,21.09366011619568
94,5531,92834,51948,0,17.802833318710327
95,5529,92836,51947,0,17.653131246566772
96,5555,92810,51960,0,20.023502588272095
97,5517,92848,51941,0,18.044031858444214
98,5539,92826,51952,0,20.00339913368225
99,5543,92822,51954,0,17.60029625892639
100,5533,92832,51949,0,19.934190273284912
101,5525,92840,51945,0,18.458248138427734
102,5523,92842,51944,0,20.486392736434937
103,5529,92836,51947,0,18.237229108810425
104,5551,92814,51958,0,18.08279585838318
105,5521,92844,51943,0,21.90128993988037
106,5535,92830,51950,0,21.766896724700928
107,5515,92850,51940,0,21.22779655456543
108,5539,92826,51952,0,18.6126446723938
109,5509,92856,51937,0,17.61494278907776
110,5525,92840,51945,0,20.326332092285156
111,5557,92808,51961,0,20.416329383850098
112,5533,92832,51949,0,17.949376821517944
113,5529,92836,51947,0,17.468324422836304
114,5543,92822,51954,0,18.113849639892578
115,5533,92832,51949,0,21.279860734939575
116,5545,92820,51955,0,21.597695350646973
117,5527,92838,51946,0,17.33796977996826
118,5545,92820,51955,0,17.579781770706177
119,5531,92834,51948,0,20.609413862228394
120,5521,92844,51943,0,17.464343547821045
121,5521,92844,51943,0,20.715205430984497
122,5535,92830,51950,0,17.313284635543823
123,5531,92834,51948,0,17.535778045654297
124,5549,92816,51957,0,20.395626068115234
125,5531,92834,51948,0,20.543378114700317
126,5523,92842,51944,0,17.332064867019653
127,5545,92820,51955,0,17.457033157348633
128,5527,92838,51946,0,20.358574867248535
129,5517,92848,51941,0,20.31026291847229
130,5539,92826,51952,0,17.12217879295349
131,5539,92826,51952,0,17.202717781066895
132,5547,92818,51956,0,20.551554918289185
133,5537,92828,51951,0,17.306993007659912
134,5559,92806,51962,0,20.45422124862671
135,5549,92816,51957,0,17.122437000274658
136,5529,92836,51947,0,17.026952266693115
137,5525,92840,51945,0,20.026023626327515
138,5533,92832,51949,0,20.106966018676758
139,5535,92830,51950,0,16.971027612686157
140,5527,92838,51946,0,17.286766529083252
141,5515,92850,51940,0,19.96822690963745
142,5529,92836,51947,0,20.314040899276733
143,5533,92832,51949,0,17.17291808128357
144,5525,92840,51945,0,17.17135262489319
145,5521,92844,51943,0,20.76191782951355
146,5523,92842,51944,0,17.524404764175415
147,5529,92836,51947,0,20.43997621536255
148,5545,92820,51955,0,17.94185733795166
149,5521,92844,51943,0,17.919467449188232
150,5511,92854,51938,0,19.538936853408813
151,5533,92832,51949,0,20.40816354751587
152,5547,92818,51956,0,18.789360284805298
153,5537,92828,51951,0,17.53934407234192
154,5543,92822,51954,0,20.191998720169067
155,5521,92844,51943,0,20.550799131393433
156,5531,92834,51948,0,18.23487424850464
157,5553,92812,51959,0,17.466993808746338
158,5543,92822,51954,0,20.383715867996216
159,5551,92814,51958,0,17.31111454963684
160,5529,92836,51947,0,20.459691286087036
161,5521,92844,51943,0,16.950023889541626
162,5513,92852,51939,0,19.428112030029297
163,5517,92848,51941,0,17.20975351333618
164,5529,92836,51947,0,20.67336869239807
165,5517,92848,51941,0,18.791829109191895
166,5533,92832,51949,0,17.484987497329712
167,5541,92824,51953,0,17.32918071746826
168,5523,92842,51944,0,20.736417293548584
169,5561,92804,51963,0,20.479681491851807
170,5543,92822,51954,0,17.690677881240845
171,5521,92844,51943,0,17.543264627456665
172,5517,92848,51941,0,20.50885033607483
173,5517,92848,51941,0,20.26616668701172
174,5519,92846,51942,0,17.3892183303833
175,5523,92842,51944,0,17.3409481048584
176,5533,92832,51949,0,20.48870849609375
177,5547,92818,51956,0,20.204941272735596
178,5517,92848,51941,0,17.827742338180542
179,5535,92830,51950,0,17.515414237976074
180,5545,92820,51955,0,20.55298137664795
181,5533,92832,51949,0,20.594634771347046
182,5543,92822,51954,0,17.988588571548462
183,5557,92808,51961,0,17.665870666503906
